date,speaker,vader_shift,bert_shift
1863-11-19,Abraham Lincoln,0.07350999999999999,0.014489603042602536
1901-03-04,Theodore Roosevelt,0.05859,0.18945235013961792
1901-03-04,Theodore Roosevelt,0.03818,0.19787489175796513
1901-03-04,Theodore Roosevelt,0.08227,0.18685365915298457
1901-03-04,Theodore Roosevelt,0.07351,0.014074480533599831
1940-06-04,Winston Churchill,0.08227,0.18685365915298457
1940-06-04,Winston Churchill,0.003749999999999998,0.192790412902832
1940-06-04,Winston Churchill,0.015310000000000006,0.18687224388122559
1942-08-08,Mahatma Gandhi,0.06833,0.19570800065994265
1942-08-08,Mahatma Gandhi,0.05994000000000001,0.19234976768493653
1942-08-08,Mahatma Gandhi,0.010270000000000001,0.19750998020172117
1947-08-15,Jawaharlal Nehru,0.07141000000000002,0.020738840103149414
1947-08-15,Jawaharlal Nehru,0.13372,0.012701451778411865
1961-12-02,Fidel Castro,0.12483,0.022952842712402277
1965-12-11,Ernesto Che Guevara,0.11636000000000002,0.00013338327407830253
1971-12-03,Indira Gandhi,0.1058400000000001,0.00021773576736450195
1971-12-04,Zulfikar Ali Bhutto,0.04837999999999992,0.19449435472488408
2018-08-18,Imran Khan,0.07505999999999999,0.19511936902999882
