speaker,vader_compound,bert_compound
A.P.J. Abdul Kalam,0.0,0.9920941591262817
Abraham Lincoln,-0.07300714285714285,0.17228393043790544
Albert Einstein,-0.6369,0.9971235990524292
Angela Merkel,0.0,0.9952616691589355
Atal Bihari Vajpayee,0.0772,0.9990360736846924
B.R. Ambedkar,-0.6369,0.9971235990524292
Barack Obama,0.0,0.9952616691589355
Benazir Bhutto,-0.1531,-0.8691948652267456
Chandrashekhar Azad,-0.6369,0.9971235990524292
Donald Trump,0.0,0.9952616691589355
Emmanuel Macron,0.0,0.9920941591262817
Ernesto Che Guevara,-0.6369,0.9971235990524292
Fidel Castro,-0.6369,0.9983779191970825
Franklin D. Roosevelt,0.0,0.9952616691589355
George W. Bush,0.0,0.9920941591262817
Greta Thunberg,-0.6369,0.9971235990524292
Imran Khan,0.0,0.9952616691589355
Indira Gandhi,0.4215,0.9993009567260742
Jacinda Ardern,0.0,0.9920941591262817
Jawaharlal Nehru,0.10801538461538461,0.47225225888765776
Joe Biden,0.0,0.9952616691589355
John F. Kennedy,0.0,0.9952616691589355
Justin Trudeau,0.0,0.9920941591262817
Lal Bahadur Shastri,-0.6369,0.9971235990524292
Lee Kuan Yew,0.0,0.9920941591262817
Mahatma Gandhi,0.012538461538461533,0.553128719329834
Malala Yousafzai,-0.6369,0.9971235990524292
Malcolm X,-0.6369,0.9971235990524292
Manmohan Singh,-0.7506,-0.9559320211410522
Margaret Thatcher,0.0,0.9920941591262817
Martin Luther King Jr.,0.0,0.9952616691589355
Narayan Murthy,0.0,0.9920941591262817
Narendra Modi,0.0,0.9952616691589355
Nelson Mandela,0.0,0.9948794841766357
Periyar E.V. Ramasamy,-0.6369,0.9971235990524292
Rajiv Gandhi,-0.6369,0.9971235990524292
Ronald Reagan,0.0,0.9920941591262817
Rosa Parks,-0.6369,0.9971235990524292
Sardar Patel,-0.6369,0.9971235990524292
Subhas Chandra Bose,-0.6369,0.9971235990524292
Theodore Roosevelt,0.1004642857142857,0.7290604369980949
Theresa May,0.0,0.9920941591262817
Vladimir Putin,0.0,0.9920941591262817
Volodymyr Zelenskyy,0.0,0.9920941591262817
Winston Churchill,0.018528571428571422,0.525942896093641
Xi Jinping,0.0,0.9920941591262817
Zulfikar Ali Bhutto,-0.1531,-0.9478199481964111
