speaker,date,year,decade,topic
Abraham Lincoln,1863-11-19,1863,1860,4
Abraham Lincoln,1863-11-19,1863,1860,4
Abraham Lincoln,1863-11-19,1863,1860,4
Abraham Lincoln,1863-11-19,1863,1860,4
Abraham Lincoln,1863-11-19,1863,1860,4
Abraham Lincoln,1863-11-19,1863,1860,4
Abraham Lincoln,1863-11-19,1863,1860,4
Abraham Lincoln,1863-11-19,1863,1860,4
Abraham Lincoln,1863-11-19,1863,1860,4
Abraham Lincoln,1863-11-19,1863,1860,4
Abraham Lincoln,1863-11-19,1863,1860,4
Abraham Lincoln,1863-11-19,1863,1860,4
Abraham Lincoln,1863-11-19,1863,1860,4
Abraham Lincoln,1863-11-19,1863,1860,4
Theodore Roosevelt,1901-03-04,1901,1900,5
Theodore Roosevelt,1901-03-04,1901,1900,5
Theodore Roosevelt,1901-03-04,1901,1900,5
Theodore Roosevelt,1901-03-04,1901,1900,5
Theodore Roosevelt,1901-03-04,1901,1900,5
Theodore Roosevelt,1901-03-04,1901,1900,5
Theodore Roosevelt,1901-03-04,1901,1900,5
Theodore Roosevelt,1901-03-04,1901,1900,5
Theodore Roosevelt,1901-03-04,1901,1900,5
Theodore Roosevelt,1901-03-04,1901,1900,5
Theodore Roosevelt,1901-03-04,1901,1900,5
Theodore Roosevelt,1901-03-04,1901,1900,5
Theodore Roosevelt,1901-03-04,1901,1900,5
Theodore Roosevelt,1901-03-04,1901,1900,5
Periyar E.V. Ramasamy,1925-06-10,1925,1920,0
Chandrashekhar Azad,1931-02-27,1931,1930,-1
Franklin D. Roosevelt,1933-03-04,1933,1930,0
Winston Churchill,1940-06-04,1940,1940,2
Winston Churchill,1940-06-04,1940,1940,2
Winston Churchill,1940-06-04,1940,1940,2
Winston Churchill,1940-06-04,1940,1940,2
Winston Churchill,1940-06-04,1940,1940,2
Winston Churchill,1940-06-04,1940,1940,2
Winston Churchill,1940-06-04,1940,1940,2
Winston Churchill,1940-06-04,1940,1940,2
Winston Churchill,1940-06-04,1940,1940,2
Winston Churchill,1940-06-04,1940,1940,2
Winston Churchill,1940-06-04,1940,1940,2
Winston Churchill,1940-06-04,1940,1940,2
Winston Churchill,1940-06-04,1940,1940,2
Winston Churchill,1940-06-04,1940,1940,2
Mahatma Gandhi,1942-08-08,1942,1940,1
Mahatma Gandhi,1942-08-08,1942,1940,1
Mahatma Gandhi,1942-08-08,1942,1940,1
Mahatma Gandhi,1942-08-08,1942,1940,1
Mahatma Gandhi,1942-08-08,1942,1940,1
Mahatma Gandhi,1942-08-08,1942,1940,1
Mahatma Gandhi,1942-08-08,1942,1940,1
Mahatma Gandhi,1942-08-08,1942,1940,1
Mahatma Gandhi,1942-08-08,1942,1940,1
Mahatma Gandhi,1942-08-08,1942,1940,1
Mahatma Gandhi,1942-08-08,1942,1940,1
Mahatma Gandhi,1942-08-08,1942,1940,1
Mahatma Gandhi,1942-08-08,1942,1940,1
Subhas Chandra Bose,1943-07-06,1943,1940,1
Albert Einstein,1945-07-22,1945,1940,0
Jawaharlal Nehru,1947-08-15,1947,1940,3
Jawaharlal Nehru,1947-08-15,1947,1940,3
Jawaharlal Nehru,1947-08-15,1947,1940,3
Jawaharlal Nehru,1947-08-15,1947,1940,3
Jawaharlal Nehru,1947-08-15,1947,1940,3
Jawaharlal Nehru,1947-08-15,1947,1940,3
Jawaharlal Nehru,1947-08-15,1947,1940,3
Jawaharlal Nehru,1947-08-15,1947,1940,3
Jawaharlal Nehru,1947-08-15,1947,1940,3
Jawaharlal Nehru,1947-08-15,1947,1940,3
Jawaharlal Nehru,1947-08-15,1947,1940,3
Jawaharlal Nehru,1947-08-15,1947,1940,3
Jawaharlal Nehru,1947-08-15,1947,1940,3
Sardar Patel,1949-01-26,1949,1940,1
B.R. Ambedkar,1950-01-26,1950,1950,1
Rosa Parks,1955-12-01,1955,1950,-1
John F. Kennedy,1961-01-20,1961,1960,-1
Fidel Castro,1961-12-02,1961,1960,0
Martin Luther King Jr.,1963-08-28,1963,1960,0
Malcolm X,1964-04-03,1964,1960,0
Lee Kuan Yew,1965-08-09,1965,1960,0
Lal Bahadur Shastri,1965-10-02,1965,1960,1
Ernesto Che Guevara,1965-12-11,1965,1960,0
Indira Gandhi,1971-12-03,1971,1970,1
Zulfikar Ali Bhutto,1971-12-04,1971,1970,2
Margaret Thatcher,1979-05-04,1979,1970,3
Rajiv Gandhi,1985-01-28,1985,1980,1
Ronald Reagan,1987-06-12,1987,1980,0
Benazir Bhutto,1988-12-02,1988,1980,0
Nelson Mandela,1994-05-10,1994,1990,0
Atal Bihari Vajpayee,1998-05-12,1998,1990,1
George W. Bush,2001-09-14,2001,2000,0
A.P.J. Abdul Kalam,2003-05-26,2003,2000,0
Narayan Murthy,2005-01-12,2005,2000,0
Manmohan Singh,2005-07-18,2005,2000,1
Barack Obama,2008-11-04,2008,2000,0
Malala Yousafzai,2013-07-12,2013,2010,0
Vladimir Putin,2014-03-18,2014,2010,0
Narendra Modi,2014-05-26,2014,2010,0
Angela Merkel,2015-09-07,2015,2010,3
Justin Trudeau,2015-10-19,2015,2010,0
Theresa May,2016-07-13,2016,2010,0
Donald Trump,2017-01-20,2017,2010,0
Emmanuel Macron,2017-05-07,2017,2010,0
Imran Khan,2018-08-18,2018,2010,-1
Greta Thunberg,2019-09-23,2019,2010,0
Jacinda Ardern,2020-03-23,2020,2020,0
Joe Biden,2021-01-20,2021,2020,2
Volodymyr Zelenskyy,2022-02-24,2022,2020,0
Xi Jinping,2022-10-16,2022,2020,1
